Continent,Area (km²),Population,Unemployment Rate,Taxes (% of GDP),External Debt (USD),Exchange Rate (USD),Internet Users,Internet Users Percentage of Population,Airports,Roadways (km),Militar Expenditures (% of GDP),GDP (USD),Type of Income
Asia,9596960,1397897720,3.64,3.64,47.0,6.5374,751886119.0,54.3,507.0,4960600.0,1.7,16117,average-income
South America,1138910,50355650,10.5,10.5,49.4,3.0,29990017.0,62.26,836.0,206500.0,3.2,14722,average-income
Africa,2235,864335,6.5,6.5,32.4,458.2,69635.0,8.48,4.0,880.0,1.4,3060,lower-income
Africa,2344858,105044646,11.5,11.5,18.1,1.0,8231357.0,8.62,198.0,152373.0,0.7,1098,lower-income
Africa,342000,5417414,36.0,36.0,130.8,579.8,437865.0,8.65,27.0,23324.0,2.7,3673,lower-income
Oceania,236,8327,13.1,13.1,26.3,1.416,4881.0,54.0,11.0,295.0,1.55,16700,average-income
Central America and the Caribbean,51100,5151140,8.1,8.1,48.9,573.5,3694974.0,74.09,161.0,5035.0,0.7,19642,average-income
Africa,322463,28088455,9.4,9.4,47.0,594.3,12295204.0,46.82,27.0,81996.0,1.1,5213,average-income
Europe,56594,4208973,8.07,8.07,77.8,6.2474,3104212.0,72.69,69.0,26958.0,1.83,28602,high-income
Central America and the Caribbean,110860,11032343,2.6,2.6,47.7,1.0,6353020.0,57.15,133.0,60000.0,2.9,12300,average-income
Central America and the Caribbean,444,151885,13.0,13.0,33.2,1.79,102359.0,68.13,1.0,550.0,1.05,24479,average-income
Middle East,9251,1281506,7.07,7.07,97.5,0.82771,1044473.0,84.43,15.0,19901.0,1.6,39545,high-income
Europe,78867,10702596,2.8,2.8,34.7,21.76636,8622750.0,80.69,128.0,55744.0,1.34,40862,high-income
Europe,43094,5894687,3.05,3.05,35.3,6.16045,5672398.0,97.64,80.0,74558.0,1.43,57804,high-income
Africa,23200,938413,40.0,40.0,31.8,177.7,492221.0,55.68,13.0,2893.0,4.9,5535,average-income
Central America and the Caribbean,751,74584,23.0,23.0,82.7,2.7,51538.0,69.62,2.0,1512.0,1.05,11917,average-income
Central America and the Caribbean,48670,10597348,5.1,5.1,37.2,47.42,7705529.0,74.82,36.0,19705.0,0.7,18413,average-income
South America,283561,17093159,5.71,5.71,45.4,25.0,9448692.0,57.27,432.0,43216.0,2.3,11375,average-income
Africa,1001450,106437241,7.86,7.86,103.0,15.69,46644728.0,46.92,83.0,65050.0,1.2,11763,average-income
Central America and the Caribbean,21041,6528135,7.0,7.0,67.9,1.0,2153776.0,33.82,68.0,9012.0,1.2,8776,average-income
Africa,28051,857008,8.6,8.6,37.4,605.3,209253.0,26.24,7.0,2880.0,1.1,18558,average-income
Africa,117600,6147398,5.8,5.8,131.2,15.38,78215.0,1.31,13.0,16000.0,5.1,1600,lower-income
Europe,45228,1220042,4.94,4.94,9.0,0.82771,1111896.0,89.36,18.0,58412.0,2.3,36927,high-income
Africa,17364,1113276,28.0,28.0,28.4,14.44,510984.0,47.0,14.0,3769.0,1.8,8622,average-income
Africa,1104300,110871031,17.5,17.5,54.2,25.0,19118470.0,18.62,57.0,120171.0,0.7,2221,lower-income
European Union,4236351,450131902,8.6,8.6,86.8,0.885,398100000.0,85.0,28.5,10582653.0,1.4,44436,high-income
South America,12173,3198,1.0,1.0,0.0,0.7836,3000.0,98.3,7.0,440.0,1.45,70800,high-income
Europe,1393,51943,2.2,2.2,35.0,6.586,49783.0,97.58,1.0,960.0,1.56,40000,high-income
Oceania,18274,939535,4.5,4.5,48.9,2.05955,462860.0,49.97,28.0,3440.0,1.6,13684,average-income
Europe,338145,5587442,6.63,6.63,61.3,0.82771,4922163.0,88.89,148.0,454000.0,2.2,48668,high-income
Europe,643801,68084217,8.12,53.8,96.8,0.82771,55265718.0,82.04,464.0,29640.0,2.04,46184,high-income
Oceania,4167,297154,21.8,21.8,26.3,110.2,211101.0,72.7,54.0,2590.0,1.55,17000,average-income
Africa,267667,2284912,28.0,28.0,62.7,605.3,1313802.0,62.0,44.0,14300.0,1.6,14950,average-income
Africa,11300,2221301,11.5,11.5,88.0,51.75,406918.0,19.84,1.0,2977.0,0.8,2223,lower-income
Asia,69700,4933674,11.8,11.8,44.9,2.535,3151218.0,63.97,22.0,20295.0,2.3,14992,average-income
Europe,357022,79903481,4.98,4.98,63.9,0.82771,72202773.0,89.74,539.0,625000.0,1.56,53919,high-income
Africa,238533,32372889,11.9,11.9,71.8,5.86,10959964.0,39.0,10.0,109515.0,0.4,5413,average-income
Europe,7,29516,1.0,1.0,7.5,0.885,27823.0,94.44,1.0,29.0,1.56,61700,high-income
Europe,131957,10569703,17.3,17.3,181.8,0.82771,7783381.0,72.95,77.0,117000.0,2.68,29799,high-income
Arctic Region,2166086,57799,9.1,9.1,13.0,6.586,40084.0,69.48,15.0,0.0,1.55,41800,high-income
Central America and the Caribbean,344,113570,24.0,24.0,70.4,2.7,66281.0,59.07,3.0,1127.0,1.05,17039,average-income
Oceania,544,168801,4.5,4.5,22.1,1.0,135073.0,80.51,5.0,1045.0,1.55,35600,high-income
Central America and the Caribbean,108889,17422821,2.3,2.3,24.7,7.323,10777827.0,65.0,291.0,17621.0,0.4,8637,average-income
Europe,78,67334,1.2,1.2,50.7,0.7836,55050.0,83.3,2.0,260.0,1.56,52500,high-income
Africa,245857,12877894,2.7,2.7,37.9,9.0,2133974.0,18.0,16.0,44301.0,2.0,2562,lower-income
Africa,36125,1976187,11.5,11.5,53.9,605.3,72047.0,3.93,8.0,4400.0,1.4,1989,lower-income
South America,214969,787971,11.1,11.1,52.2,207.0,276498.0,37.33,117.0,3995.0,1.7,13082,average-income
Central America and the Caribbean,27750,11198240,40.6,40.6,31.1,65.21,3503006.0,32.47,14.0,4266.0,1.05,2905,lower-income
Central America and the Caribbean,112090,9346277,5.6,5.6,39.5,23.74,2853505.0,31.7,103.0,14742.0,1.6,5728,average-income
Southeast Asia,1108,7263234,2.93,2.93,0.1,7.75225,6450167.0,89.42,2.0,2107.0,1.8499999999999999,59848,high-income
Europe,93028,9728337,3.45,3.45,73.6,295.3276,7474413.0,76.07,41.0,203601.0,1.85,32945,high-income
Arctic Region,103000,354234,3.62,3.62,40.0,127.05,340117.0,99.01,96.0,12898.0,1.55,55874,high-income
Asia,3287263,1339330514,8.5,8.5,71.2,73.565,446759327.0,34.45,346.0,4699024.0,2.9,6700,average-income
Southeast Asia,1904569,275122131,5.31,5.31,28.8,14.0,104563108.0,39.79,673.0,496607.0,0.7,11812,average-income
Middle East,1648195,85888910,11.8,11.8,39.5,32.0,58117322.0,70.0,319.0,223485.0,3.8,12389,average-income
Middle East,438317,39650145,16.0,16.0,59.7,1.0,18364390.0,49.36,102.0,59623.0,3.9,10881,average-income
Europe,70273,5224884,4.98,4.98,68.6,0.82771,4283516.0,84.52,40.0,99830.0,0.27,86781,high-income
Europe,572,90895,1.1,1.1,50.7,0.7836,4391969.0,82.04,1.0,500.0,1.56,84600,high-income
Middle East,21937,8787045,4.4,4.4,72.6,3.44,6873037.0,81.58,42.0,19555.0,5.0,41953,high-income
Europe,301340,62390364,9.88,9.88,131.8,0.82771,46305301.0,74.39,129.0,487700.0,1.39,42492,high-income
Central America and the Caribbean,10991,2816602,7.72,7.72,101.0,128.36,1548618.0,55.07,28.0,22121.0,1.6,9762,average-income
Asia,377915,124687293,2.36,2.36,237.6,104.205,106725643.0,84.59,175.0,1218772.0,1.0,41429,high-income
Europe,116,101476,4.0,4.0,50.7,0.7836,58000.0,59.6,1.0,576.0,1.56,56600,high-income
Middle East,89342,10909567,19.1,19.1,95.9,0.709,6985174.0,66.79,18.0,7203.0,4.7,10071,average-income
Asia,2724900,19245793,4.8,4.8,20.8,420.0049,14789448.0,78.9,96.0,95409.0,1.1,26351,high-income
Africa,580367,54685051,40.0,40.0,54.2,111.45,9129243.0,17.83,197.0,177800.0,1.3,4330,lower-income
Oceania,811,113001,30.6,30.6,26.3,1.31,15946.0,14.58,19.0,670.0,1.55,2272,lower-income
Asia,120538,25831360,25.6,25.6,50.4,135.0,8017120.0,48.11,82.0,25554.0,24.0,1700,lower-income
Asia,99720,51715162,3.76,3.76,39.5,1.0,49309955.0,95.9,111.0,100428.0,2.7,42765,high-income
Europe,10887,1935259,30.5,30.5,21.2,0.885,1706150.0,89.44,6.0,2012.0,0.8,11368,average-income
Middle East,17818,3032065,1.1,1.1,20.6,0.3049,2904801.0,99.6,7.0,5749.0,5.0,49854,high-income
Asia,199951,6018789,3.18,3.18,56.0,68.35,2222732.0,38.0,28.0,34000.0,1.5,5253,average-income
Southeast Asia,236800,7574356,0.7,0.7,63.6,8.0,1845437.0,25.51,41.0,39586.0,0.2,7826,average-income
Europe,64589,1862687,6.14,6.14,36.3,0.82771,1607711.0,83.58,42.0,70244.0,2.27,30898,high-income
Middle East,10400,5261372,9.7,9.7,146.8,1.0,4769039.0,78.18,8.0,21705.0,4.2,14552,average-income
Africa,30355,2177740,28.1,28.1,33.7,14.48,569114.0,29.0,24.0,5940.0,1.5,2704,lower-income
Africa,111369,5214030,2.8,2.8,34.4,109.4,383819.0,7.98,29.0,10600.0,0.5,1428,lower-income
Africa,1759540,7017224,30.0,30.0,4.7,1.413,1440859.0,21.76,146.0,37000.0,1.4,15174,average-income
Europe,160,39425,2.4,2.4,50.7,0.9875,37815.0,98.1,41.5,630.0,1.56,139100,high-income
Europe,65300,2711566,8.4,8.4,39.7,0.82771,2226806.0,79.72,61.0,84166.0,2.13,37231,high-income
Europe,2586,639589,5.36,5.36,23.0,0.82771,587955.0,97.06,2.0,2875.0,0.57,114482,high-income
Southeast Asia,28,630396,2.0,2.0,0.0,8.0,508052.0,83.79,1.0,428.0,1.8499999999999999,123965,high-income
Africa,587041,27534354,1.8,1.8,36.0,3.0,2516994.0,9.8,83.0,31640.0,0.6,1647,lower-income
Africa,118484,20308502,20.4,20.4,59.2,762.4951,2734305.0,13.78,32.0,15452.0,0.9,1060,lower-income
Southeast Asia,329847,33519406,3.3,3.3,54.1,4.064,25829444.0,81.2,114.0,144403.0,0.9,28364,high-income
Asia,298,390669,2.9,2.9,63.9,15.42,248004.0,63.19,9.0,93.0,2.05,19531,average-income
Africa,1240192,20137527,7.9,7.9,35.4,605.3,2395886.0,13.0,25.0,139107.0,2.7,2322,lower-income
Europe,316,460891,0.78,0.78,50.7,0.82771,365521.0,81.4,1.0,2254.0,0.5,44032,high-income
Oceania,181,78831,36.0,36.0,25.5,1.0,29290.0,38.7,15.0,2028.0,1.55,3889,lower-income
Africa,1030700,4079284,10.2,10.2,96.6,363.6,798809.0,20.8,30.0,12253.0,2.8,5197,average-income
Africa,2040,1386129,6.65,6.65,64.0,39.65,799470.0,58.6,5.0,2428.0,0.2,22870,average-income
North America,1964375,130207371,3.49,3.49,54.3,19.8,82843369.0,65.77,1714.0,398148.0,0.5,19796,average-income
Oceania,702,101675,16.2,16.2,24.5,1.0,36586.0,35.3,6.0,0.0,1.55,3464,lower-income
Europe,33851,3323875,4.99,4.99,31.5,18.49,2616792.0,76.12,7.0,9352.0,0.4,13050,average-income
Europe,2,31223,2.0,2.0,50.7,0.885,29821.0,97.05,41.5,56926.0,1.56,115700,high-income
Asia,1564116,3198913,8.0,8.0,91.4,2.0,735823.0,23.71,44.0,113200.0,0.7,12317,average-income
Europe,13812,607414,15.82,15.82,67.2,0.885,439311.0,71.52,5.0,7762.0,1.72,21470,average-income
Central America and the Caribbean,102,5387,5.6,5.6,53.3,2.7,2860.0,54.6,1.0,227.0,1.05,34000,high-income
Africa,716550,36561813,9.23,9.23,65.1,9.0065,22596729.0,64.8,62.0,57300.0,3.1,7515,average-income
Africa,799380,30888034,24.5,24.5,102.1,74.12,2855670.0,10.0,98.0,31083.0,0.9,1281,lower-income
Africa,824292,2678191,34.0,34.0,41.3,13.67,1291944.0,51.0,112.0,48875.0,3.0,9637,average-income
Oceania,21,9770,23.0,23.0,62.0,1.311,5524.0,57.0,1.0,30.0,1.55,11583,average-income
Asia,147181,30424878,3.0,3.0,26.4,104.0,10103980.0,34.0,47.0,27990.0,1.6,3417,lower-income
Europe,41543,17337403,3.41,3.41,56.5,0.82771,16243928.0,94.71,29.0,139124.0,1.49,56935,high-income
Oceania,18575,293608,14.7,14.7,6.5,110.2,231887.0,82.01,25.0,5622.0,1.55,31100,high-income
Oceania,268838,4991442,4.13,4.13,31.7,1.41794,4340672.0,90.81,123.0,94000.0,1.5,42888,high-income
Central America and the Caribbean,130370,6243931,6.4,6.4,33.3,30.11,1695340.0,27.86,147.0,23897.0,0.7,5407,average-income
Africa,1267000,23605767,0.3,0.3,45.3,605.3,1110778.0,5.25,30.0,18949.0,1.8,1225,lower-income
Africa,923768,219463862,16.5,16.5,21.8,383.5,85450052.0,42.0,54.0,195000.0,0.5,5136,average-income
Oceania,260,2000,12.0,12.0,26.3,1.416,1090.0,91.6,1.0,234.0,1.55,5800,average-income
Europe,25713,2128262,17.29,17.29,39.3,55.8,1677569.0,79.17,10.0,14182.0,1.57,16479,average-income
Oceania,464,51659,11.2,11.2,7.1,1.0,16000.0,30.6,5.0,536.0,1.55,24500,average-income
Europe,323802,5509591,3.72,3.72,36.5,8.81535,5183627.0,96.49,95.0,94902.0,2.0,63633,high-income
Middle East,309500,3694755,9.7,9.7,46.9,0.38505,2801932.0,80.19,132.0,60230.0,8.8,27299,high-income
Asia,796095,238181034,6.0,6.0,67.0,160.425,34734689.0,15.51,151.0,263775.0,4.0,4690,lower-income
Oceania,459,21613,1.7,1.7,24.1,1.0,7650.0,36.0,3.0,125.0,1.55,17579,average-income
Central America and the Caribbean,75420,3928646,6.14,6.14,37.8,1.0,2199433.0,57.87,117.0,1386.0,1.2,31459,high-income
Oceania,462840,7399757,2.5,2.5,36.9,3.5131,787764.0,11.21,561.0,9349.0,0.4,4355,lower-income
South America,406752,7272639,5.7,5.7,19.5,7.0,4566043.0,64.99,799.0,74676.0,1.0,12685,average-income
South America,1285216,32201224,6.58,6.58,25.4,3.599,16461427.0,52.54,191.0,140672.0,1.2,12848,average-income
Southeast Asia,300000,110818325,5.11,5.11,39.9,48.055,63588975.0,60.05,247.0,216387.0,1.0,8908,average-income
Europe,312685,38185913,5.43,5.43,50.6,3.6684,29791401.0,77.54,126.0,420000.0,2.2,33221,high-income
Europe,92090,10263850,6.55,6.55,125.7,0.82771,7731411.0,74.66,64.0,82900.0,1.59,34894,high-income
Central America and the Caribbean,9104,3142779,10.8,10.8,51.6,1.0,2326006.0,70.6,29.0,26862.0,1.05,34518,high-income
Middle East,11586,2479995,8.9,8.9,53.8,3.641,2355297.0,99.65,6.0,7039.0,2.5,90044,high-income
Europe,238391,21230362,3.06,3.06,36.8,4.02835,15165890.0,70.68,45.0,84185.0,2.07,29941,high-income
Asia,17098242,142320790,4.6,4.6,15.5,73.7569,114920477.0,80.86,1218.0,1283387.0,4.0,27044,high-income
Africa,26338,12943132,2.7,2.7,40.5,839.1,2653197.0,21.77,7.0,4700.0,1.2,2227,lower-income
Africa,394,7915,14.0,14.0,53.45,0.7836,1800.0,23.1,2.0,198.0,1.4,7800,average-income
Central America and the Caribbean,261,54149,4.5,4.5,62.9,2.7,42852.0,80.71,2.0,383.0,1.05,26438,high-income
Central America and the Caribbean,616,166637,20.0,20.0,70.7,2.7,84112.0,50.82,2.0,1210.0,1.05,15449,average-income
Central America and the Caribbean,54,32680,8.05,8.05,53.3,0.885,1100.0,3.5,1.0,1386.0,1.05,19300,average-income
North America,242,5321,8.7,8.7,66.55,0.885,4500.0,79.5,2.0,117.0,1.42,46200,high-income
Central America and the Caribbean,389,101145,18.8,18.8,73.8,2.7,22803.0,22.39,6.0,1386.0,1.05,12485,average-income
Oceania,2831,204898,5.2,5.2,49.1,2.54712,67662.0,33.61,4.0,1150.0,1.55,6521,average-income
Europe,61,34467,8.1,8.1,24.1,0.885,20328.0,60.18,41.5,292.0,1.56,59439,high-income
Africa,964,213948,12.2,12.2,88.4,22.0,61193.0,29.93,2.0,1300.0,1.4,3970,lower-income
Middle East,2149690,34783757,6.0,6.0,17.2,3.7514,30877318.0,93.31,214.0,221372.0,7.0,46962,high-income
Africa,196722,16082442,48.0,48.0,48.3,617.4,6909635.0,46.0,20.0,16665.0,1.5,3395,lower-income
Europe,77474,6974289,14.1,14.1,62.5,112.4,5192501.0,73.36,26.0,44248.0,2.4,18233,average-income
Africa,455,96387,3.0,3.0,63.6,13.64,55616.0,58.77,14.0,526.0,1.3,29223,high-income
Africa,71740,6807277,15.0,15.0,63.9,7.0,568099.0,9.0,8.0,11700.0,0.7,1718,lower-income
Southeast Asia,719,5866139,2.25,2.25,111.1,1.33685,5286665.0,88.17,9.0,3500.0,3.3,97341,high-income
Central America and the Caribbean,34,44564,12.0,12.0,53.3,1.79,181660.0,65.0,1.0,53.0,1.05,35342,high-income
Europe,49035,5436066,5.0,5.0,50.9,0.82771,4391969.0,80.66,35.0,56926.0,2.0,32730,high-income
Europe,20273,2102106,7.64,7.64,73.6,0.82771,1676445.0,79.75,16.0,38985.0,1.1,39088,high-income
Oceania,28896,690598,8.8,8.8,9.4,8.06126,78686.0,11.92,36.0,1390.0,1.55,2663,lower-income
Africa,1219090,56978635,28.53,28.53,53.0,14.9575,31107064.0,56.17,407.0,750000.0,0.9,12482,average-income
Africa,644329,10984074,11.5,11.5,62.7,0.885,814326.0,7.98,89.0,90200.0,3.5,1600,lower-income
Europe,505370,47260584,14.13,14.13,98.4,0.82771,42478990.0,86.11,135.0,683175.0,1.17,40903,high-income
Asia,65610,23044123,4.83,4.83,79.1,185.8,7700876.0,34.11,18.0,114093.0,1.9,13078,average-income
Africa,1861484,46751152,19.6,19.6,121.6,6.72,13311404.0,30.87,67.0,31000.0,1.6,3958,lower-income
South America,163820,614749,8.9,8.9,69.3,7.53,292685.0,48.95,55.0,4304.0,1.1,16525,average-income
Europe,450295,10261767,6.78,6.78,40.8,8.49085,9251773.0,92.14,231.0,573134.0,1.1,53240,high-income
Europe,41277,8453550,2.31,2.31,41.8,0.88995,7437820.0,89.69,63.0,71557.0,0.7,68628,high-income
Middle East,187437,20384316,50.0,50.0,94.8,514.6,6077510.0,34.25,90.0,69873.0,4.25,2900,lower-income
Southeast Asia,35980,23572052,3.73,3.73,35.7,28.211,21845944.0,92.78,37.0,43206.0,2.3,24502,average-income
Asia,144100,8990874,2.4,2.4,50.4,8.764,1889632.0,21.96,24.0,30000.0,2.2,3380,lower-income
Africa,947300,62092761,10.3,10.3,37.0,2.0,13862836.0,25.0,166.0,87581.0,1.3,2660,lower-income
Southeast Asia,513120,69480520,0.99,0.99,41.9,30.03,38987531.0,56.82,101.0,180053.0,1.4,18460,average-income
Southeast Asia,14874,1413958,4.4,4.4,3.8,1.0,363398.0,27.49,6.0,6040.0,1.0,3553,lower-income
Africa,56785,8283189,6.9,6.9,75.7,617.4,1010609.0,12.36,8.0,11734.0,2.0,1597,lower-income
Oceania,12,1647,2.0,2.0,26.3,1.543,805.0,60.2,6.0,10.0,1.55,6004,average-income
Oceania,747,105780,1.1,1.1,48.0,2.27015,43889.0,41.25,6.0,680.0,1.55,6383,average-income
Central America and the Caribbean,5128,1221047,4.9,4.9,41.8,6.78,939967.0,77.33,4.0,1386.0,0.7,26176,high-income
Africa,163610,11811335,15.5,15.5,70.3,2.71795,7392242.0,64.19,29.0,20000.0,2.5,10756,average-income
Middle East,783562,82482383,13.68,13.68,28.3,7.81925,57725143.0,71.04,98.0,67333.0,1.86,28424,high-income
Asia,488100,5579889,11.0,11.0,28.8,4.125,1149840.0,21.25,26.0,58592.0,1.8,14845,average-income
Central America and the Caribbean,948,57196,10.0,10.0,53.3,1.0,181660.0,65.0,8.0,121.0,1.05,29253,high-income
Oceania,26,11448,8.8,8.8,37.0,1.311,5498.0,49.32,1.0,8.0,1.55,4281,lower-income
Africa,241038,44712143,9.4,9.4,40.0,3.0,9620681.0,23.71,47.0,20544.0,2.1,2187,lower-income
AsiaEurope,603550,43745640,8.89,8.89,71.0,28.10001,25883509.0,58.89,187.0,169694.0,3.0,12810,average-income
Middle East,83600,9856612,1.6,1.6,19.7,3.67315,9550945.0,98.45,43.0,4080.0,5.2,67119,high-income
Europe,243610,67,3.17,3.17,87.5,0.7836,61784878.0,94.9,460.0,394428.0,2.32,46659,high-income
North America,9833517,334998398,3.89,3.89,78.8,0.7836,285519020.0,87.27,13513.0,6586610.0,3.73,62530,high-income
South America,176215,3398239,7.6,7.6,65.7,42.645,2300557.0,68.28,133.0,77732.0,2.0,21561,average-income
Asia,447400,30842796,5.0,5.0,24.3,3.0,15705402.0,52.31,53.0,86496.0,4.0,6999,average-income
Oceania,12189,303009,1.7,1.7,48.4,111.015,74083.0,25.72,31.0,1070.0,1.55,3153,lower-income
South America,912050,29069153,6.9,6.9,38.9,3.0,21354499.0,72.0,444.0,96189.0,0.4,7704,average-income
Southeast Asia,331210,102789598,3.11,3.11,58.5,23.0,68267875.0,70.35,45.0,195468.0,2.3,8041,average-income
Central America and the Caribbean,1910,105870,10.4,10.4,53.3,1.0,68872.0,64.38,2.0,1260.0,1.05,37000,high-income
Oceania,142,15851,8.8,8.8,5.6,110.2,3450.0,22.1,2.0,675.0,1.55,3800,lower-income
Middle East,5860,2949246,27.9,27.9,24.4,3.606,2673000.0,57.4,2.0,4686.0,4.25,6220,average-income
Middle East,527968,30399243,27.0,27.0,74.5,275.0,7659884.0,26.72,57.0,71300.0,4.3,2500,lower-income
Africa,752618,19077816,15.0,15.0,63.1,21.065,2351646.0,14.3,88.0,67671.0,1.2,3470,lower-income
Africa,390757,14829988,11.3,11.3,82.3,82.3138,3796618.0,27.06,196.0,97267.0,0.7,2836,lower-income
